Provinsi,Tanggal,Suhu_Celsius
Kalimantan Barat,2023-01-13,24.967395038646625
Kalimantan Selatan,2023-01-13,26.25552896731712
Kalimantan Tengah,2023-01-13,26.06368841257952
Kalimantan Timur,2023-01-13,24.868535704601
Lampung,2023-01-13,25.64358457647288
Nusa Tenggara Barat,2023-01-13,25.039172453405136
Nusa Tenggara Timur,2023-01-13,25.40500541489889
Sulawesi Tengah,2023-01-13,23.75751376414328
Sulawesi Tenggara,2023-01-13,25.68589070243948
Sumatera Barat,2023-01-13,22.94378967109667
Sumatera Utara,2023-01-13,23.20763642069761
Maluku,2023-01-14,26.31783874433564
Maluku Utara,2023-01-14,25.54907049355592
Kepulauan Bangka Belitung,2023-01-14,26.729735838253845
Banten,2023-01-14,26.099756796100134
Gorontalo,2023-01-14,24.861289386885428
Papua Barat,2023-01-14,25.68782272405341
Jawa Barat,2023-01-14,24.18102545084216
Papua,2023-01-14,24.290382694191678
Sulawesi Utara,2023-01-14,24.600137747816586
Sumatera Selatan,2023-01-14,25.82214347159158
Kepulauan Riau,2023-01-14,26.64340942349854
Riau,2023-01-14,25.47891520394209
Sulawesi Barat,2023-01-14,22.24348901932117
Sulawesi Selatan,2023-01-14,24.083813408506455
Aceh,2023-01-14,21.648143997606663
Bali,2023-01-14,24.692396688659468
DI Yogyakarta,2023-01-14,25.069816752469453
DKI Jakarta,2023-01-14,26.794542722191423
Jambi,2023-01-14,25.09236547487694
Jawa Tengah,2023-01-14,25.056022917665707
Jawa Timur,2023-01-14,25.43106390393578
Kalimantan Barat,2023-01-14,25.28663346330639
Kalimantan Selatan,2023-01-14,26.401707207554345
Kalimantan Tengah,2023-01-14,26.46035786761017
Kalimantan Timur,2023-01-14,24.68058999361268
Lampung,2023-01-14,25.467699607862205
Nusa Tenggara Barat,2023-01-14,25.53061465624507
Nusa Tenggara Timur,2023-01-14,25.230822609477062
Sulawesi Tengah,2023-01-14,23.602137112861215
Sulawesi Tenggara,2023-01-14,25.825544630013983
Sumatera Barat,2023-01-14,23.244708218916596
Sumatera Utara,2023-01-14,22.83450842509913
Maluku,2023-01-15,26.232031245300508
Maluku Utara,2023-01-15,25.45858577890917
Kepulauan Bangka Belitung,2023-01-15,26.389023923364157
Banten,2023-01-15,25.822991578120924
Gorontalo,2023-01-15,25.093583847741517
Papua Barat,2023-01-15,24.92713798384197
Jawa Barat,2023-01-15,24.09685567477173
Papua,2023-01-15,23.098922108592
Sulawesi Utara,2023-01-15,24.833603468650757
Sumatera Selatan,2023-01-15,25.25621663101928
Kepulauan Riau,2023-01-15,26.568534134846416
Riau,2023-01-15,25.73203727637745
Sulawesi Barat,2023-01-15,22.68981975850073
Sulawesi Selatan,2023-01-15,23.785258478338477
Aceh,2023-01-15,21.66840414577912
Bali,2023-01-15,24.159543064643238
DI Yogyakarta,2023-01-15,25.164107073703043
DKI Jakarta,2023-01-15,27.05916264273369
Jambi,2023-01-15,24.87751684667179
Jawa Tengah,2023-01-15,24.787804204247507
Jawa Timur,2023-01-15,24.995547244144092
Kalimantan Barat,2023-01-15,25.905377736998343
Kalimantan Selatan,2023-01-15,26.692214852350716
Kalimantan Tengah,2023-01-15,27.217795009438078
Kalimantan Timur,2023-01-15,25.231613784628266
Lampung,2023-01-15,25.24586359075177
Nusa Tenggara Barat,2023-01-15,25.259321207186773
Nusa Tenggara Timur,2023-01-15,25.04023983240432
Sulawesi Tengah,2023-01-15,23.86918551475221
Sulawesi Tenggara,2023-01-15,25.433971703385904
Sumatera Barat,2023-01-15,22.783144180432224
Sumatera Utara,2023-01-15,22.80579282230081
Maluku,2023-01-16,26.168595056571306
Maluku Utara,2023-01-16,25.484408659652637
Kepulauan Bangka Belitung,2023-01-16,25.88992669536956
Banten,2023-01-16,25.22121565896463
Gorontalo,2023-01-16,24.703823444153745
Papua Barat,2023-01-16,25.215068200256454
Jawa Barat,2023-01-16,24.02379570007328
Papua,2023-01-16,23.694386049398094
Sulawesi Utara,2023-01-16,24.46389032949236
Sumatera Selatan,2023-01-16,24.88268159163524
Kepulauan Riau,2023-01-16,26.538929551233903
Riau,2023-01-16,25.50501945301628
Sulawesi Barat,2023-01-16,22.833085249269025
Sulawesi Selatan,2023-01-16,23.93648983154078
Aceh,2023-01-16,21.34842633996201
Bali,2023-01-16,23.83642144135016
DI Yogyakarta,2023-01-16,24.92662139318066
DKI Jakarta,2023-01-16,26.58548000894146
